date_data_entered,person_entering_data,date_on_vial,person_that_sorted_the_sample,site,sample_type,ostracod,copepod,hemiptera_corixidae_boatman,cladocera,nematode,diptera_total,dipteran_sp,diptera_chironomid,diptera_ceratopogonidae,diptera_ceratopogonidae_pupa,diptera_culicidae,diptera_culicidae_larvae,diptera_anthomyiidae,diptera_ephydridae,diptera_stratiomyidae,amphipod,lepidoptera_crambidae,hemiptera_total,hemiptera_mesoveliidae,hemiptera_notonectidae,annelida_total,annelida_sp,annelida_oligochaete,annelida_polychaete,ephemeroptera,odonate,coleoptera_total,coleoptera_sp,coleoptera_dytiscidae,coleoptera_dytiscidae_liodessus_affinis,coleoptera_dytiscidae_agabus,coleoptera_dytiscidae_colymbetinae,coleoptera_curculionidae_weavil,coleoptera_hydrophilidae,coleoptera_tropiscernus,coleoperta_hydraenidae,coleoptera_gyrindae_gyrinini,ephemeroptera_sp,tipulidae_larva,plecoptera_sp,arachnida_acari_mite,trichoptera_sp,collembola_springtail,gastropod_snail,mollusk,syrphidae,terrestrials,isopoda_sphaeroma,clam_shrimp,eristalis_tenax_larvae,larvae,crawfish,fish,nz_mudsnail,unknown,total_number,comments,x64,x65
NA,Alison R,44781.0,"Kylie, Belen and Gary",NPB2,FB250,15,28,0,3630,0,0,0,1,0,4,10,90,0,0,0,157,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,43,0,0,0,0,0
NA,Valeria Estrada,45083.0,Emily Bredy,NPB1,FB250,4,197,0,1,0,0,0,20,0,0,0,4,0,0,0,265,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,43,0,0,0,0,0,0,0,0,0,460,0,0,0,0,0
NA,Jasmine R,45423.0,Owen Eclweiler,NPB1,SW500,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,0,0,0,0,0
NA,Jasmine R,45455.0,Gary Tian,NPB1,SW250,16,21,0,3,0,0,0,4,0,0,0,2,0,0,0,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,295,17,0,0,0,0
NA,Sophie Serruya,45531.0,Mark Oregel,NPB1,SW250,10,173,0,4,0,0,0,0,0,0,0,0,0,0,0,185,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,61,0,436,0,0,0
2025-01-08T00:00:00Z,Jasmine R + Sophie Serruya,45580.0,Leila S,NPB1,SW250,10,22,0,590,8,0,0,1,0,0,0,0,0,0,0,16,0,0,0,0,0,0,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,153,0,0,0,0,0
NA,Sophie Serruya,45596.0,Leila Schorno,NVB,SW500,0,0,20,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,21,0,0,0
2025-02-23T00:00:00Z,Matthew RC,45618.0,Stephen Bond,NPB,SW500,0,4,0,0,24,3,0,3,0,0,0,0,0,0,0,5,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2,0,0,0,0,0,0,0,0,139,1,0,0,0,0
2025-03-08T00:00:00Z,Matthew RC,45710.0,Anjalique Richard,NPB1,SW500,0,0,0,0,1,0,0,2,3,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,51,0,0,0,0,0
2025-03-19T00:00:00Z,Jasmine R,45717.0,Stephen Bond,NDC,SW500,58,95,0,105,0,0,0,23,15,0,0,2,0,0,0,54,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0
2025-07-08T00:00:00Z,Jon S,45780.0,Mila Mation,NPB1,SW250,12,337,0,164,3,0,26,7,0,0,0,0,0,0,0,15,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,75,1,0,4,0,0,0,0,0,0,13,0,0,0,0,0
