date_data_entered,person_entering_data,date_on_vial,person_that_sorted_the_sample,site,partial_sample_note,sample_type,ostracod,copepod,hemiptera_corixidae_boatman,cladocera,nematode,dipteran_sp,diptera_chironomid,diptera_ceratopogonidae,diptera_ceratopogonidae_pupa,diptera_culicidae,diptera_culicidae_larvae,diptera_anthomyiidae,diptera_ephydridae,diptera_stratiomyidae,amphipod,lepidoptera_crambidae,hemiptera_mesoveliidae,hemiptera_notonectidae,annelida_sp,annelida_oligochaete,annelida_polychaete,ephemeroptera,odonate,coleoptera_sp,coleoptera_dytiscidae,coleoptera_dytiscidae_liodessus_affinis,coleoptera_dytiscidae_agabus,coleoptera_dytiscidae_colymbetinae,coleoptera_curculionidae_weavil,coleoptera_hydrophilidae,coleoptera_tropiscernus,coleoperta_hydraenidae,coleoptera_gyrindae_gyrinini,ephemeroptera_sp,tipulidae_larva,plecoptera_sp,arachnida_acari_mite,trichoptera_sp,collembola_springtail,gastropod_snail,mollusk,syrphidae,terrestrials,isopoda_sphaeroma,clam_shrimp,eristalis_tenax_larvae,larvae,crawfish,fish,nz_mudsnail,unknown,comments,OBJECTID,Sampling_frequency,x,y
NA,Weijun S,2020-01-21T00:00:00Z,Cole D + Haley D + Weijun S,NDC,NA,FB250,8,161,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,7,Quarterly,-119.882993254677,34.4211237991105
NA,Lauren Stiles,2020-01-21T00:00:00Z,Weijun and Alexa,NDC,NA,FB250,10,163,NA,4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,7,Quarterly,-119.882993254677,34.4211237991105
NA,ALison R,2020-02-21T00:00:00Z,Brooke and Alison,NVBR,NA,FB250,36,7249,3,1982,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,Quarterly,-119.87410977842,34.4175305114216
NA,Alison R,2021-04-15T00:00:00Z,Mckenzie and Megan,NPB,NA,FB250,1385,400,342,25,2,NA,13,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,24,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,NA,NA,NA,NA,NA,NA,NA,1.0,NA,NA,NA,NA,NA,4,Quarterly,-119.878980669991,34.4213716063627
NA,Alison Rickard,2021-08-25T00:00:00Z,Clare Duganne,NPB,NA,FB250,2308,44,NA,NA,NA,NA,3,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,1.0,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,4,Quarterly,-119.878980669991,34.4213716063627
NA,Valeria Estrada,2021-08-25T00:00:00Z,"Clare, Sophia Long",NPB,NA,FB250,2048,14,NA,NA,NA,NA,7,8,NA,1,NA,NA,NA,NA,2,NA,NA,7,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,4,Quarterly,-119.878980669991,34.4213716063627
NA,Lauren S,2021-09-01T00:00:00Z,Lauren S,NPB2,NA,FB250,NA,3,NA,3,NA,NA,NA,NA,260,NA,NA,1,NA,NA,NA,NA,NA,NA,4,NA,NA,NA,5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,81,NA,NA,NA,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,6,Quarterly,-119.880675826088,34.4248762302824
NA,Lauren S,2021-09-01T00:00:00Z,Lauren S,NPB2,NA,FB250,0,3,0,2,0,NA,NA,NA,NA,260,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,81,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,There is one that we could not yet identify -- species X in separate tube. There were also 2 terrestrials in this sample,6,Quarterly,-119.880675826088,34.4248762302824
NA,Lauren Stiles,2021-11-12T00:00:00Z,Lawrence L,NPB,NA,FB250,594,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.0,2,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,4,Quarterly,-119.878980669991,34.4213716063627
NA,Lawrence L,2021-11-16T00:00:00Z,Lawrence L,NPB,NA,FB250,541,4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,22,NA,NA,NA,NA,NA,NA,NA,NA,Not sure if there are other species in the waste vial,4,Quarterly,-119.878980669991,34.4213716063627
NA,Ingrid,2021-11-23T00:00:00Z,Ingrid,NPB2,NA,FB250,0,0,0,1,0,0,0,0,NA,2,NA,NA,0,0,32,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,replicate bottle,6,Quarterly,-119.880675826088,34.4248762302824
NA,Justin H,2021-11-23T00:00:00Z,Justin H,NPB2,NA,FB250,2,52,2,4,NA,NA,1,NA,NA,17,NA,NA,NA,NA,6,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4,NA,NA,NA,17,NA,NA,NA,NA,NA,NA,NA,NA,NA,6,Quarterly,-119.880675826088,34.4248762302824
NA,Kristen R,2022-01-20T00:00:00Z,Lily Strange,NVP2,NA,FB250,NA,240,NA,1835,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,10,After Rain,-119.87988189222,34.4194776322913
NA,Ingrid,2022-01-20T00:00:00Z,Ingrid,NVP4,NA,FB250,21,31,NA,2390,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,replica,9,After Rain,-119.880949411571,34.419069035776
NA,Dakota Tyson,2022-01-20T00:00:00Z,Graham I,NVP4,NA,FB250,186,27,0,3456,0,0,0,0,NA,0,NA,NA,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,NA,0,NA,NA,NA,NA,NA,NA,NA,9,After Rain,-119.880949411571,34.419069035776
NA,Lauren Stiles,2022-01-21T00:00:00Z,Olivia T and Sam D,NEC,NA,FB250,NA,735,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,was mis-entered with site as NEV,1,Quarterly,-119.873895201699,34.4208936917187
NA,Lauren Stiles,2022-01-24T00:00:00Z,Ingrid,NEC,NA,FB250,1,392,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,Quarterly,-119.873895201699,34.4208936917187
NA,Lauren Stiles,2022-01-24T00:00:00Z,Ingrid,NEC,NA,FB250,1,392,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,Quarterly,-119.873895201699,34.4208936917187
NA,Kristen R,2022-01-28T00:00:00Z,Brody Regan,NWP,NA,Core 1cm,NA,NA,NA,NA,NA,NA,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,8,After Rain,-119.882349524514,34.4212123017849
NA,Justin H,2022-01-28T00:00:00Z,Ingrid S,NWP,NA,CORE: cm 3,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,8,After Rain,-119.882349524514,34.4212123017849
NA,Justin H,2022-01-28T00:00:00Z,Theresa N,NDC,NA,FB250,NA,26,NA,294,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,half-sample,7,Quarterly,-119.882993254677,34.4211237991105
NA,Lauren Stiles,2022-01-28T00:00:00Z,Lauren Stiles,NDC,half sample,FB250,71,303,NA,2844,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,1.0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,3,NA,NA,NA,NA,NA,NA,NA,NA,half sample,7,Quarterly,-119.882993254677,34.4211237991105
NA,Lawrence L,2022-01-28T00:00:00Z,Lawrence L,NWP,NA,FB250,158,131,NA,6909,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.0,NA,NA,NA,NA,NA,8,After Rain,-119.882349524514,34.4212123017849
NA,Lauren S,2022-01-28T00:00:00Z,Kristen R,NWP,NA,CORE 3-4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,no organisms found,NA,NA,NA,NA,NA,8,After Rain,-119.882349524514,34.4212123017849
