OBJECTID,location_code,location_name,Sampling_frequency,x,y
1,NEC,East Channel,Quarterly,-119.8738952,34.42089369
2,NVBR,Venoco Bridge,Quarterly,-119.8741098,34.41753051
3,NMC,Main Channel,Quarterly,-119.8759551,34.41969004
4,NPB,Phelps Bridge,Quarterly,-119.8789807,34.42137161
5,NPB1,Phelps Creek Upstream,Quarterly,-119.8791309,34.42241593
6,NPB2,Phelps Creek at Phelps Road,Quarterly,-119.8806758,34.42487623
7,NDC,Devereux Creek,Quarterly,-119.8829933,34.4211238
8,NWP,West Pond,After Rain,-119.8823495,34.4212123
9,NVP4,Vernal Pool 4,After Rain,-119.8809494,34.41906904
10,NVP2,Vernal Pool 2,After Rain,-119.8798819,34.41947763
11,PIER,Pier,Quarterly,-119.8771478,34.41181648
12,MO1,Mouth,Quarterly,-119.8796892,34.40972645
13,VP1,Vernal Pool 1,After Rain,-119.8794282,34.41367117
14,DSP,Dune Swale Pond,After Rain,-119.8818958,34.41363576
