raw_name,raw_name_clean,taxonID,parentNameUsageID,acceptedNameUsageID,scientificName,kingdom,Phylum,Class,Subclass,Superorder,Order,Family,Genus,taxonRank,comments
Ostracod,,,,,Ostracoda,Animalia,Arthropoda,Ostracoda,,,,,,Class,
Copepod,,,,,Copepoda,Animalia,Arthropoda,Hexanauplia,Copepoda,,,,,Class,copepods (crustaceans)
Hemiptera: Corixidae (boatman),,,,,Corixidae,Animalia,Arthropoda,Insecta,,,Hemiptera,Corixidae,,Family,water boatmen
Cladocera,,,,,Cladocera,Animalia,Arthropoda,Insecta,,Diplostraca,,,,Superorder,waterfleas (crustaceans)
Nematode,,,,,Nematoda,Animalia,,,,,,,,Phylum,nematodes
Diptera - TOTAL,,,,,,,,,,,,,,,
Dipteran sp.,,,,,Diptera,Animalia,Arthropoda,Insecta,,,Diptera,,,Order,unidentified flies
Diptera: Chironomid ,diptera_chironimid,,,,Chironomidae,Animalia,Arthropoda,Insecta,,,Diptera,,,Family,non-biting midges
Diptera: Ceratopogonidae,,,,,Ceratopogonidae,Animalia,Arthropoda,Insecta,,,Diptera,,,Family,sandflies
Diptera : Ceratopogonidae pupa,,,,,Ceratopogonidae,Animalia,Arthropoda,Insecta,,,Diptera,,,Family,sandflies
Diptera: Culicidae,,,,,Culicidae,Animalia,Arthropoda,Insecta,,,Diptera,,,Family,mosquitoes
Diptera: Culicidae Larvae ,,,,,Culicidae,Animalia,Arthropoda,Insecta,,,Diptera,,,Family,mosquitoes
Diptera : Anthomyiidae,,,,,Anthomyiidae,Animalia,Arthropoda,Insecta,,,Diptera,,,Family,
Diptera: Ephydridae,,,,,Ephydridae,Animalia,Arthropoda,Insecta,,,Diptera,,,Family,shore flies/brine flies
Diptera: Stratiomyidae,,,,,Stratiomyidae,Animalia,Arthropoda,Insecta,,,Diptera,,,Family,soldier flies
Amphipod,,,,,Amphipoda,Animalia,Arthropoda,"	Malacostraca",,,Amphipoda,,,Order,amphipods
Lepidoptera-Crambidae,,,,,Crambidae,Animalia,Arthropoda,Insecta,,,Lepidoptera,,,Family,grass moths
Hemiptera  TOTAL,,,,,,,,,,,,,,,
Hemiptera- Mesoveliidae,,,,,Mesoveliidae,Animalia,Arthropoda,Insecta,,,Hemiptera,,,Family,
Hemiptera- Notonectidae,,,,,,,,Insecta,,,,,,,
Annelida TOTAL,,,,,,,,,,,,,,,
Annelida Sp.,,,,,,,,,,,,,,,
Annelida: Oligochaete,,,,,,,,,,,,,,,
Annelida: Polychaete,,,,,,,,,,,,,,,
Ephemeroptera,,,,,,,,,,,,,,,
Odonate,,,,,,Animalia,Arthropoda,Insecta,,,Odonata,,,Order,
Coleoptera - TOTAL,,,,,,,,,,,,,,,
Coleoptera sp.,,,,,Coleoptera,Animalia,Arthropoda,Insecta,,,Coleoptera,,,Order,
Coleoptera: Dytiscidae,,,,,,Animalia,Arthropoda,Insecta,,,Coleoptera,,,Family,
Coleoptera: Dytiscidae: Liodessus affinis,,,,,Liodessus affinis,Animalia,Arthropoda,Insecta,,,Coleoptera,,,Species,
Coleoptera: Dytiscidae: Agabus,,,,,Agabus,Animalia,Arthropoda,Insecta,,,Coleoptera,Dytiscidae,,Genus,
Coleoptera: Dytiscidae: Colymbetinae,,,,,,Animalia,Arthropoda,Insecta,,,Coleoptera,,,,
Coleoptera: Curculionidae  (Weavil),,,,,,Animalia,Arthropoda,Insecta,,,Coleoptera,,,Family,
Coleoptera - Hydrophilidae,,,,,,Animalia,Arthropoda,Insecta,,,Coleoptera,,,Family,
Coleoptera - Tropiscernus,,,,,,Animalia,Arthropoda,Insecta,,,Coleoptera,,,,
Coleoperta Hydraenidae,,,,,,Animalia,Arthropoda,Insecta,,,Coleoptera,,,Family,
Coleoptera- Gyrindae- Gyrinini,,,,,,Animalia,Arthropoda,Insecta,,,Coleoptera,,,,
Ephemeroptera Sp.,,,,,,Animalia,Arthropoda,Insecta,,,Ephemeroptera,,,Order,
Tipulidae Larva,,,,,,,,,,,,,,,
Plecoptera Sp.,,,,,,,,,,,,,,,
Arachnida: Acari  (mite),,,,,,,,,,,,,,,
Trichoptera Sp.,,,,,,,,,,,,,,,
Collembola (Springtail),,,,,,,,,,,,,,,
Gastropod - snail,,,,,,,,,,,,,,,
Mollusk,,,,,Mollusca,Animalia,Mollusca,NA,,,NA,,,Phylum,
Syrphidae,,,,,Syrphidae,Animalia,Arthropoda,Insecta,,,Diptera,,,Family,
Terrestrials,,,,,,,,,,,,,,,
"Isopoda, sphaeroma",,,,,,,,,,,,,,,
Clam Shrimp,,,,,,,,,,,,,,,
Eristalis tenax larvae,,,,,,,,,,,,,,,
Larvae,,,,,,,,,,,,,,,
Crawfish,,,,,,,,,,,,,,,
Fish ,,,,,,,,,,,,,,,
NZ Mudsnail ,,,,,Potamopyrgus antipodarum,Animalia,Mollusca,Gastropoda,,,Littorinimorpha,,,Species,
